 | Draft a credit note | click=true | en=true | [0,1251][1080,2399]
Draft a credit note |  | click=false | en=true | [42,1335][458,1404]
INV/0634 |  | click=true | en=true | [42,1436][1038,1602]
 | INV/0634, Sharma Kirana Stores, 10187 rupees | click=true | en=true | [42,1622][1038,1811]
INV/0634 |  | click=false | en=true | [92,1665][698,1723]
Sharma Kirana Stores |  | click=false | en=true | [92,1723][698,1771]
₹10,187.00 | 10187 rupees | click=false | en=true | [728,1683][996,1752]
 | Short delivered | click=true | en=true | [42,1853][396,2019]
Short delivered |  | click=false | en=true | [76,1906][362,1964]
 | ✓ Return, saleable | click=true | en=true | [446,1853][863,2019]
✓ Return, saleable |  | click=false | en=true | [480,1906][829,1964]
 | Return, damaged | click=true | en=true | [913,1853][1038,2019]
Return, damaged |  | click=false | en=true | [947,1906][1038,1964]
Pick a row to see it here |  | click=false | en=true | [42,2060][1038,2108]
 | Close | click=true | en=true | [42,2150][1038,2315]
Close |  | click=false | en=true | [486,2203][593,2261]
